,brand,url,label
0,#ladc,https://www.ladc-paris.com,NOT
1,'47,https://47brand.com,NOT
2,- contraer -,https://contraer.com,NOT
3,032c,https://032c.com,SUS
4,10 feet,https://10feet.nl,NOT
5,11 degrees,https://11degrees.com,NOT
6,2mok,https://2mok.pt,SUS
7,2ndday,http://2ndday.com,NOT
8,3.1 phillip lim,https://31philliplim.com,NOT
9,4funkyflavours,https://4funkyflavours.eu,NOT
10,4th & reckless,https://4thandreckless.com,NOT
11,5.11,https://511tactical.com,NOT
12,66 north,https://66north.com,NOT
13,7 diamonds,https://7diamonds.com,NOT
14,7 for all mankind,https://www.7forallmankind.co.uk,NOT
15,8848 altitude,https://www.8848altitude.com,NOT
16,a fish named fred,https://afishnamedfred.com,NOT
17,a.p.c,https://apc.fr,NOT
18,aaiko,https://aaiko.com,NOT
19,abercrombie & fitch,http://abercrombie.com,NOT
20,abk,http://abk-climbing.eu,NOT
21,about you,https://aboutyou.nl,NOT
22,abury,https://abury.net,SUS
23,aclima,http://aclima.com,SUS
24,acne,https://acnestudios.com,NOT
25,act,https://act-store.com,NOT
26,action,https://actionshop.com,NOT
27,active basic,https://activebasicusa.com,NOT
28,ada perlu,https://adaperlu.com,SUS
29,adam,https://adamlippes.com,NOT
30,adelheid,https://adelheidbergin.com,SUS
31,adidas,https://adidas.com,NOT
32,adolfo dominguez,https://adolfodominguez.com,NOT
33,aevor,https://aevor.com,SUS
34,afriek,https://afriek.com,SUS
35,after eden,https://aftereden.nl,NOT
36,aftermath,https://aftermath.com.au,SUS
37,ag jeans,http://agjeans.com,NOT
38,agolde,https://agolde.com,NOT
39,ahimsa,https://useahimsa.com,NOT
40,ahrberg,http://www.ahrbergjacksondesign.co.uk,SUS
41,aigner,https://aignermunich.com,NOT
42,aikyou,https://aikyou.de,SUS
43,airblaster,https://myairblaster.com,SUS
44,airforce,https://air-force.nl,NOT
45,akbar delights,http://akbardelightscollections.com,SUS
46,akomplice,https://akomplice-clothing.com,NOT
47,akris,https://akris.com,NOT
48,al mara scarves,https://almarascarves.com,SUS
49,alas,https://alasboutique.com,SUS
50,alba of denmark,https://albaofdenmark.dk,SUS
51,albero,http://alberonatur.com,SUS
52,alberta ferretti,https://albertaferretti.com,NOT
53,alberto,https://alberto-pants.com,NOT
54,alca fashion,https://alcafashion.com,NOT
55,alchemist,https://alchemist-fashion.com,SUS
56,alcott,https://alcott.eu,NOT
57,alex mill,https://alexmill.com,SUS
58,alexander mcqueen,https://alexandermcqueen.com,NOT
59,alexander wang,https://alexanderwang.com,NOT
60,alife and kickin,https://alifeandkickin.nl,SUS
61,alkena,https://alkena.de,SUS
62,all gems,https://allgems.nl,SUS
63,all things we like,https://allthingswelike.com,SUS
64,allpa,https://allpa-marine.com,SUS
65,allsaints,https://allsaints.com,NOT
66,alma & lovis,https://almalovis.de,SUS
67,almgwand,https://almgwand.at,NOT
68,alolola,https://alolola.com,SUS
69,alpha industries,https://www.alphaindustries.com,NOT
70,alpina,https://alpina-automobiles.com,SUS
71,alpinestars,https://alpinestars.com,NOT
72,altercore,http://altercore.co.uk,SUS
73,altra,https://www.altrarunning.com,NOT
74,amazonas,https://amazonasclothing.co.uk,SUS
75,ambiorix,http://ambiorix.be,NOT
76,america today,https://america-today.com,NOT
77,american apparel,https://americanapparel.com,NOT
78,american vintage,https://americanvintage-store.com,NOT
79,amsterdenim,https://amsterdenim.com,NOT
80,amuse society,https://amusesociety.com,SUS
81,ana dyla,https://anadyla.com,SUS
82,anatomicals,http://anatomicals.com.mt,SUS
83,anecdote,https://anecdote.nl,NOT
84,anekdot,https://anekdotboutique.com,SUS
85,anello,https://anello.jp,SUS
86,anerkjendt,https://anerkjendt.com,SUS
87,angulus,https://angulus.dk,NOT
88,anita,https://anita.com,NOT
89,ann taylor,https://anntaylor.com,NOT
90,anna van toor,https://www.annavantoor.nl,NOT
91,anne gorke,https://annegorke.com,SUS
92,anne semonin,https://annesemonin.com,NOT
93,annie greenabelle,http://anniegreenabelle.com,NOT
94,another view,http://anotherview.dk,SUS
95,anthony,https://anthonysfla.com,NOT
96,antwrp,https://antwrp.be,NOT
97,anukoo,https://anukoo.com,SUS
98,apart,https://apart-fashion.de,NOT
99,apple of eden,https://appleofedenshoes.com,NOT
100,apricot,https://apricotonline.co.uk,NOT
101,aqa,https://aqaq.com,SUS
102,ara,https://arajakarta.com,SUS
103,aramis,http://aramisbarcelona.com,NOT
104,arcopedico,https://www.arcopedico.co.uk,NOT
105,arena,https://www.arenawaterinstinct.com,NOT
106,argentum,https://argentumfashion.com,NOT
107,ariat,https://ariat.com,NOT
108,arielle,https://shop-arielle.com,SUS
109,aritzia,https://aritzia.com,NOT
110,armani exchange,https://armaniexchange.com,NOT
111,armor lux,https://armorlux.com,NOT
112,arnette,https://arnette.com,NOT
113,arnhem,https://arnhem.co,NOT
114,artelusa,https://artelusa.pt,SUS
115,articles of society,https://articlesofsociety.com,SUS
116,artu napoli,http://artunapoli.com,SUS
117,arture,https://myarture.com,SUS
118,arys,https://www.arys-berlin.com,SUS
119,ash,https://ash.com,NOT
120,ashish,http://ashish.co.uk,SUS
121,asics,https://asics.com,NOT
122,asics tiger,https://asicstiger.com,NOT
123,asos,https://asos.com,NOT
124,asquith,https://asquithlondon.com,SUS
125,assembly label,https://assemblylabel.com,SUS
126,assos,https://assos.com,NOT
127,atelier d'afrique,https://atelier-dafrique.com/,SUS
128,atelier phi,https://atelierphi.nl,SUS
129,atlas,https://atlasformen.co.uk,NOT
130,aubade,https://aubade.co.uk,NOT
131,august,https://august1983.com,SUS
132,auraque,https://auraque.com,SUS
133,aussiebum,https://aussiebum.com,NOT
134,avance,https://avance-clothing.com,NOT
135,axi schoen,https://axischoen.nl,NOT
