,brand,url,label,website_active
0,#ladc,https://www.ladc-paris.com,NOT,True
1,'47,https://47brand.com,NOT,True
2,- contraer -,https://contraer.com,NOT,True
3,032c,https://032c.com,SUS,True
4,10 feet,https://10feet.nl,NOT,False
5,11 degrees,https://11degrees.com,NOT,True
6,2mok,https://2mok.pt,SUS,True
7,2ndday,http://2ndday.com,NOT,True
8,3.1 phillip lim,https://31philliplim.com,NOT,True
9,4funkyflavours,https://4funkyflavours.eu,NOT,True
10,4th & reckless,https://4thandreckless.com,NOT,True
11,5.11,https://511tactical.com,NOT,True
12,66 north,https://66north.com,NOT,True
13,7 diamonds,https://7diamonds.com,NOT,True
14,7 for all mankind,https://www.7forallmankind.co.uk,NOT,True
15,8848 altitude,https://www.8848altitude.com,NOT,True
16,a fish named fred,https://afishnamedfred.com,NOT,True
17,a.p.c,https://apc.fr,NOT,False
18,aaiko,https://aaiko.com,NOT,True
19,abercrombie & fitch,http://abercrombie.com,NOT,False
20,abk,http://abk-climbing.eu,NOT,True
21,about you,https://aboutyou.nl,NOT,True
22,abury,https://abury.net,SUS,True
23,aclima,http://aclima.com,SUS,True
24,acne,https://acnestudios.com,NOT,True
25,act,https://act-store.com,NOT,True
26,action,https://actionshop.com,NOT,False
27,active basic,https://activebasicusa.com,NOT,True
28,ada perlu,https://adaperlu.com,SUS,True
29,adam,https://adamlippes.com,NOT,True
30,adelheid,https://adelheidbergin.com,SUS,False
31,adidas,https://adidas.com,NOT,False
32,adolfo dominguez,https://adolfodominguez.com,NOT,True
33,aevor,https://aevor.com,SUS,True
34,afriek,https://afriek.com,SUS,True
35,after eden,https://aftereden.nl,NOT,True
36,aftermath,https://aftermath.com.au,SUS,True
37,ag jeans,http://agjeans.com,NOT,True
38,agolde,https://agolde.com,NOT,True
39,ahimsa,https://useahimsa.com,NOT,True
40,ahrberg,http://www.ahrbergjacksondesign.co.uk,SUS,False
41,aigner,https://aignermunich.com,NOT,True
42,aikyou,https://aikyou.de,SUS,True
43,airblaster,https://myairblaster.com,SUS,True
44,airforce,https://air-force.nl,NOT,False
45,akbar delights,http://akbardelightscollections.com,SUS,True
46,akomplice,https://akomplice-clothing.com,NOT,True
47,akris,https://akris.com,NOT,True
48,al mara scarves,https://almarascarves.com,SUS,True
49,alas,https://alasboutique.com,SUS,False
50,alba of denmark,https://albaofdenmark.dk,SUS,True
51,albero,http://alberonatur.com,SUS,True
52,alberta ferretti,https://albertaferretti.com,NOT,True
53,alberto,https://alberto-pants.com,NOT,True
54,alca fashion,https://alcafashion.com,NOT,False
55,alchemist,https://alchemist-fashion.com,SUS,True
56,alcott,https://alcott.eu,NOT,True
57,alex mill,https://alexmill.com,SUS,True
58,alexander mcqueen,https://alexandermcqueen.com,NOT,True
59,alexander wang,https://alexanderwang.com,NOT,True
60,alife and kickin,https://alifeandkickin.nl,SUS,False
61,alkena,https://alkena.de,SUS,True
62,all gems,https://allgems.nl,SUS,True
63,all things we like,https://allthingswelike.com,SUS,True
64,allpa,https://allpa-marine.com,SUS,True
65,allsaints,https://allsaints.com,NOT,True
66,alma & lovis,https://almalovis.de,SUS,True
67,almgwand,https://almgwand.at,NOT,True
68,alolola,https://alolola.com,SUS,False
69,alpha industries,https://www.alphaindustries.com,NOT,True
70,alpina,https://alpina-automobiles.com,SUS,True
71,alpinestars,https://alpinestars.com,NOT,True
72,altercore,http://altercore.co.uk,SUS,True
73,altra,https://www.altrarunning.com,NOT,True
74,amazonas,https://amazonasclothing.co.uk,SUS,False
75,ambiorix,http://ambiorix.be,NOT,True
76,america today,https://america-today.com,NOT,True
77,american apparel,https://americanapparel.com,NOT,True
78,american vintage,https://americanvintage-store.com,NOT,True
79,amsterdenim,https://amsterdenim.com,NOT,True
80,amuse society,https://amusesociety.com,SUS,True
81,ana dyla,https://anadyla.com,SUS,False
82,anatomicals,http://anatomicals.com.mt,SUS,True
83,anecdote,https://anecdote.nl,NOT,True
84,anekdot,https://anekdotboutique.com,SUS,True
85,anello,https://anello.jp,SUS,True
86,anerkjendt,https://anerkjendt.com,SUS,True
87,angulus,https://angulus.dk,NOT,True
88,anita,https://anita.com,NOT,True
89,ann taylor,https://anntaylor.com,NOT,True
90,anna van toor,https://www.annavantoor.nl,NOT,True
91,anne gorke,https://annegorke.com,SUS,False
92,anne semonin,https://annesemonin.com,NOT,True
93,annie greenabelle,http://anniegreenabelle.com,NOT,True
94,another view,http://anotherview.dk,SUS,True
95,anthony,https://anthonysfla.com,NOT,True
96,antwrp,https://antwrp.be,NOT,True
97,anukoo,https://anukoo.com,SUS,True
98,apart,https://apart-fashion.de,NOT,True
99,apple of eden,https://appleofedenshoes.com,NOT,True
100,apricot,https://apricotonline.co.uk,NOT,True
101,aqa,https://aqaq.com,SUS,True
102,ara,https://arajakarta.com,SUS,False
103,aramis,http://aramisbarcelona.com,NOT,True
104,arcopedico,https://www.arcopedico.co.uk,NOT,True
105,arena,https://www.arenawaterinstinct.com,NOT,True
106,argentum,https://argentumfashion.com,NOT,True
107,ariat,https://ariat.com,NOT,True
108,arielle,https://shop-arielle.com,SUS,True
109,aritzia,https://aritzia.com,NOT,True
110,armani exchange,https://armaniexchange.com,NOT,False
111,armor lux,https://armorlux.com,NOT,True
112,arnette,https://arnette.com,NOT,True
113,arnhem,https://arnhem.co,NOT,True
114,artelusa,https://artelusa.pt,SUS,True
115,articles of society,https://articlesofsociety.com,SUS,True
116,artu napoli,http://artunapoli.com,SUS,True
117,arture,https://myarture.com,SUS,True
118,arys,https://www.arys-berlin.com,SUS,True
119,ash,https://ash.com,NOT,True
120,ashish,http://ashish.co.uk,SUS,True
121,asics,https://asics.com,NOT,False
122,asics tiger,https://asicstiger.com,NOT,False
123,asos,https://asos.com,NOT,False
124,asquith,https://asquithlondon.com,SUS,True
125,assembly label,https://assemblylabel.com,SUS,True
126,assos,https://assos.com,NOT,True
127,atelier d'afrique,https://atelier-dafrique.com/,SUS,True
128,atelier phi,https://atelierphi.nl,SUS,False
129,atlas,https://atlasformen.co.uk,NOT,True
130,aubade,https://aubade.co.uk,NOT,True
131,august,https://august1983.com,SUS,False
132,auraque,https://auraque.com,SUS,True
133,aussiebum,https://aussiebum.com,NOT,True
134,avance,https://avance-clothing.com,NOT,False
135,axi schoen,https://axischoen.nl,NOT,True
136,ayacucho,https://www.ayacucho-outdoor.com,SUS,True
137,aymara,http://www.aymara.be,NOT,True
138,azzaro,https://azzaro.com,SUS,True
139,b.belt handmade in germany,https://b-belt.fashion/,SUS,True
140,b.young,https://byoung.com,SUS,True
